circuito_n	JXC	UP	LLA	FIT	HACEMOS	ganador	quien gano en este circuito	diferencia
93	30.8	37.2	23.5	4.6	3.9	37.2	UP	-6.4
94	32.2	38.1	21.4	4.8	3.4	38.1	UP	-5.9
95	35.4	35.2	21.7	4.0	3.7	35.4	JXC	0.1
96	29.8	37.3	24.2	4.5	4.3	37.3	UP	-7.5
97	28.9	40.6	22.7	4.2	3.5	40.6	UP	-11.7
98	36.5	33.7	22.6	3.5	3.6	36.5	JXC	2.8
99	40.3	30.2	22.2	3.8	3.5	40.3	JXC	10.1
100	39.8	31.4	21.1	3.9	3.8	39.8	JXC	8.3
101	37.8	32.4	21.5	4.5	3.8	37.8	JXC	5.4
102	40.8	29.7	21.5	3.9	4.1	40.8	JXC	11.1
103	38.8	30.4	22.7	4.1	4.0	38.8	JXC	8.4
104	36.2	34.0	21.6	4.0	4.2	36.2	JXC	2.3
105	39.3	32.7	19.9	4.5	3.7	39.3	JXC	6.6
106	37.0	33.6	20.6	5.0	3.8	37.0	JXC	3.4
107	37.8	34.0	20.7	4.0	3.4	37.8	JXC	3.8
108	36.7	34.5	20.6	4.4	3.8	36.7	JXC	2.2
109	37.0	35.3	19.8	4.0	3.8	37.0	JXC	1.7
110	35.8	37.4	18.9	4.2	3.7	37.4	UP	-1.6
111	37.0	33.8	21.3	4.3	3.6	37.0	JXC	3.2
112	36.1	35.8	20.8	4.3	2.9	36.1	JXC	0.3
113	36.3	34.3	21.3	4.5	3.6	36.3	JXC	2.0
114	38.2	35.3	18.9	4.1	3.5	38.2	JXC	2.9
115	35.5	38.0	19.1	4.2	3.1	38.0	UP	-2.5
116	36.5	37.5	18.5	4.1	3.4	37.5	UP	-1.0
117	40.4	33.3	18.5	4.3	3.5	40.4	JXC	7.1
118	45.1	29.7	18.0	3.8	3.4	45.1	JXC	15.4
119	43.2	31.1	18.5	3.7	3.5	43.2	JXC	12.1
120	44.2	27.2	21.1	3.6	3.9	44.2	JXC	17.0
121	41.9	29.1	21.6	3.8	3.7	41.9	JXC	12.8
122	52.3	21.9	20.5	2.5	2.9	52.3	JXC	30.4
123	43.0	29.3	20.4	3.6	3.6	43.0	JXC	13.8
124	37.3	35.4	19.3	3.9	4.0	37.3	JXC	1.9
125	41.9	32.0	18.5	4.0	3.6	41.9	JXC	9.9
126	40.7	32.0	19.8	4.0	3.5	40.7	JXC	8.7
127	50.4	25.4	18.1	3.0	3.2	50.4	JXC	25.0
128	43.2	31.7	18.3	3.5	3.3	43.2	JXC	11.5
129	45.8	29.7	17.8	3.5	3.2	45.8	JXC	16.1
130	45.3	30.8	17.0	3.7	3.3	45.3	JXC	14.5
131	42.1	32.1	18.1	3.5	4.2	42.1	JXC	10.0
132	39.7	32.9	20.1	3.9	3.4	39.7	JXC	6.8
133	45.9	30.1	17.9	3.1	3.0	45.9	JXC	15.8
134	52.1	23.6	18.5	2.6	3.2	52.1	JXC	28.6
135	52.5	24.3	18.1	2.5	2.7	52.5	JXC	28.2
136	49.4	27.4	17.2	3.0	3.1	49.4	JXC	22.0
137	50.1	27.3	16.4	2.9	3.3	50.1	JXC	22.8
138	53.9	22.6	18.3	2.6	2.7	53.9	JXC	31.2
139	55.8	22.0	17.6	2.3	2.4	55.8	JXC	33.8
140	51.1	25.2	18.7	2.5	2.5	51.1	JXC	25.9
141	55.3	20.8	19.2	2.2	2.5	55.3	JXC	34.6
142	66.7	13.3	16.8	1.3	1.9	66.7	JXC	53.4
143	57.0	21.1	16.9	2.2	2.8	57.0	JXC	35.9
144	59.8	19.3	16.4	1.7	2.8	59.8	JXC	40.4
145	46.9	32.5	14.9	2.9	2.8	46.9	JXC	14.4
146	42.1	35.1	16.2	3.5	3.2	42.1	JXC	7.0
147	56.6	22.0	16.3	2.4	2.7	56.6	JXC	34.6
148	59.8	18.3	17.7	1.9	2.3	59.8	JXC	41.4
149	58.8	17.2	20.0	1.7	2.3	58.8	JXC	41.6
150	68.7	10.1	18.6	0.8	1.7	68.7	JXC	58.6
151	63.1	16.2	17.2	1.5	2.0	63.1	JXC	46.9
152	61.4	19.2	15.6	1.9	1.9	61.4	JXC	42.2
153	51.1	26.9	15.9	3.4	2.6	51.1	JXC	24.2
154	47.9	30.0	16.4	3.0	2.7	47.9	JXC	17.9
155	44.1	31.2	18.6	3.1	2.9	44.1	JXC	12.9
156	40.9	36.7	15.4	4.1	3.0	40.9	JXC	4.1
157	41.1	36.0	16.8	3.1	2.9	41.1	JXC	5.1
158	40.5	37.2	15.4	3.5	3.3	40.5	JXC	3.3
159	37.2	38.0	17.5	4.1	3.1	38.0	UP	-0.8
160	40.1	36.8	16.2	3.6	3.3	40.1	JXC	3.3
161	37.9	38.2	17.1	3.7	3.1	38.2	UP	-0.3
162	31.0	40.9	20.2	4.5	3.4	40.9	UP	-9.8
163	31.0	43.6	18.1	4.1	3.2	43.6	UP	-12.6
164	35.9	39.7	17.7	3.9	2.8	39.7	UP	-3.9
165	40.2	35.4	17.0	4.0	3.4	40.2	JXC	4.8
166	36.0	38.6	17.8	4.1	3.5	38.6	UP	-2.6
167	40.8	32.9	18.7	4.1	3.5	40.8	JXC	7.9
