Time,Sergio Massa,Javier Milei,Patricia Bullrich,Myriam Bregman,Juan Schiaretti
2023-10-08T22:26:00-03:00,11,18,17,29,22
2023-10-08T22:27:00-03:00,25,28,13,21,15
2023-10-08T22:28:00-03:00,24,30,11,21,36
2023-10-08T22:29:00-03:00,14,19,7,23,40
2023-10-08T22:30:00-03:00,17,24,8,14,25
2023-10-08T22:31:00-03:00,20,23,12,30,41
2023-10-08T22:32:00-03:00,15,33,11,48,25
2023-10-08T22:33:00-03:00,12,25,24,26,46
2023-10-08T22:34:00-03:00,11,17,19,26,24
2023-10-08T22:35:00-03:00,11,25,20,19,53
2023-10-08T22:36:00-03:00,15,27,18,14,40
2023-10-08T22:37:00-03:00,16,21,22,30,34
2023-10-08T22:38:00-03:00,11,22,16,36,30
2023-10-08T22:39:00-03:00,19,19,19,20,19
2023-10-08T22:40:00-03:00,12,18,13,20,8
2023-10-08T22:41:00-03:00,6,19,18,20,11
2023-10-08T22:42:00-03:00,12,14,14,15,35
2023-10-08T22:43:00-03:00,24,21,15,14,27
2023-10-08T22:44:00-03:00,23,22,22,23,15
2023-10-08T22:45:00-03:00,27,27,16,31,26
2023-10-08T22:46:00-03:00,19,31,13,21,30
2023-10-08T22:47:00-03:00,15,32,14,19,22
2023-10-08T22:48:00-03:00,14,27,13,12,17
2023-10-08T22:49:00-03:00,16,25,16,17,16
2023-10-08T22:50:00-03:00,13,24,12,13,18
2023-10-08T22:51:00-03:00,15,24,13,10,11
2023-10-08T22:52:00-03:00,13,25,11,9,12
2023-10-08T22:53:00-03:00,10,21,14,11,10
2023-10-08T22:54:00-03:00,11,22,14,6,10
2023-10-08T22:55:00-03:00,10,16,12,16,11
2023-10-08T22:56:00-03:00,9,17,9,32,11
2023-10-08T22:57:00-03:00,9,33,17,15,11
2023-10-08T22:58:00-03:00,11,25,37,16,31
2023-10-08T22:59:00-03:00,19,26,23,17,81
2023-10-08T23:00:00-03:00,30,21,19,13,34
2023-10-08T23:01:00-03:00,17,27,15,11,20
2023-10-08T23:02:00-03:00,14,25,13,19,17
2023-10-08T23:03:00-03:00,14,23,13,13,14
2023-10-08T23:04:00-03:00,15,19,12,10,13
2023-10-08T23:05:00-03:00,12,24,11,14,11
2023-10-08T23:06:00-03:00,11,22,10,12,12
2023-10-08T23:07:00-03:00,13,23,12,11,12
2023-10-08T23:08:00-03:00,10,25,11,13,12
2023-10-08T23:09:00-03:00,10,26,8,16,14
2023-10-08T23:10:00-03:00,13,23,10,23,12
2023-10-08T23:11:00-03:00,10,19,11,26,7
2023-10-08T23:12:00-03:00,11,27,11,24,6
2023-10-08T23:13:00-03:00,10,19,14,21,10
2023-10-08T23:14:00-03:00,12,20,9,11,8
2023-10-08T23:15:00-03:00,11,23,13,17,14
2023-10-08T23:16:00-03:00,10,18,14,13,7
2023-10-08T23:17:00-03:00,12,20,10,12,8
